#;bloc;variety;culture;Echantillon;Modality;H_tige_AV;D_collet_AV;Nb_feuilles_AV;poids_frais;poids_sec;Larves;Sample ID;Glucoraphanin;Progoitrin isomer;Glucoalyssin;Gluconapoleiferin;Gluconapin;Butyl-GS;Glucobrassicanapin;Glucobrassicin;Gluconasturtiin;Methoxyglucobrassicin;Neoglucobrassicin;Unknown GLS (C16H20N2O11S2);Total
37;3;2;mono;A;mono 2 A;17.22333333;7;6.666666667;98.5;23.8;6;240108_LM_GLS_colza_sample_37;156.0483871;549.5967742;655.6451613;29.43548387;449.5967742;8.064516129;273.7903226;970.1612903;67.74193548;45.96774194;625;13.70967742;3844.758065
38;3;2;mono;B;mono 2 B;19.02333333;7.833333333;6;75.6;21.4;10;240108_LM_GLS_colza_sample_38;105.0847458;397.3634652;386.440678;21.84557439;248.5875706;4.896421846;157.0621469;1013.182674;53.8606403;41.05461394;1021.845574;5.649717514;3456.873823
39;3;2;mono;C;mono 2 C;11.98666667;5.5;6.333333333;24.7;6;1;240108_LM_GLS_colza_sample_39;90.06928406;526.5588915;447.113164;22.63279446;323.7875289;4.15704388;168.1293303;439.26097;24.94226328;26.78983834;211.5473441;5.542725173;2290.531178
40;3;3;mono;A;mono 3 A;17.75333333;9.5;6.666666667;72;20.6;3;240108_LM_GLS_colza_sample_40;46.62813102;357.9961464;294.026975;26.58959538;281.3102119;1.926782274;188.8246628;659.344894;50.86705202;45.0867052;847.7842004;8.477842004;2808.863198
41;3;3;mono;B;mono 3 B;13.93333333;12.5;8.333333333;117.7;26.5;3;240108_LM_GLS_colza_sample_41;37.29508197;279.5081967;220.9016393;15.98360656;204.9180328;1.639344262;103.2786885;454.5081967;46.31147541;48.7704918;2405.327869;6.147540984;3824.590164
42;3;3;mono;C;mono 3 C;19.23666667;13.33333333;11.66666667;141.2;30.8;4;240108_LM_GLS_colza_sample_42;0;4.635761589;3.973509934;0;5.629139073;0;5.960264901;6.953642384;0;0;4.966887417;0;32.1192053
43;3;1;mono;A;mono 1 A;15.27666667;11.5;7;110.6;31.3;0;240108_LM_GLS_colza_sample_43;40.74844075;339.7089397;286.4864865;29.10602911;273.1808732;3.326403326;284.8232848;698.960499;38.25363825;32.43243243;949.6881497;6.237006237;2982.952183
44;3;1;mono;B;mono 1 B;15.66333333;16.16666667;6;114;32;0;240108_LM_GLS_colza_sample_44;34.86529319;455.4675119;374.6434231;29.79397781;352.4564184;2.218700475;342.6307448;514.7385103;42.15530903;32.01267829;856.1014263;6.973058637;3044.057052
45;3;1;mono;C;mono 1 C;15.42666667;17.83333333;9;143.3;36.2;1;240108_LM_GLS_colza_sample_45;29.44550669;215.6787763;214.5315488;17.59082218;196.5583174;1.912045889;173.6137667;395.0286807;36.32887189;19.88527725;344.9330784;9.942638623;1655.449331
46;3;2;asso;A;asso 2 A;20.30666667;10.16666667;10.33333333;201;31.5;12;240108_LM_GLS_colza_sample_46;105.4766734;417.8498986;529.0060852;23.12373225;350.5070994;8.92494929;194.7261663;819.8782961;32.86004057;40.56795132;364.7058824;10.14198783;2897.768763
